Date,Close
2018-01-02,16947.751953125
2018-01-03,17113.095703125
2018-01-04,17030.423828125
2018-01-05,17691.798828125
2018-01-08,17877.810546875
2018-01-09,18167.162109375
2018-01-10,18311.837890625
2018-01-11,17857.142578125
2018-01-12,17671.130859375
2018-01-15,17650.462890625
2018-01-16,17774.470703125
2018-01-17,16947.751953125
2018-01-18,16947.751953125
2018-01-19,17567.791015625
2018-01-22,17691.798828125
2018-01-25,16906.416015625
2018-01-26,16699.736328125
2018-01-29,16493.0546875
2018-01-30,16410.3828125
2018-01-31,17113.095703125
2018-02-01,16410.3828125
2018-02-02,16410.3828125
2018-02-05,15376.984375
2018-02-06,14343.5849609375
2018-02-07,15004.9599609375
2018-02-08,14467.5927734375
2018-02-09,14467.5927734375
2018-02-12,14798.2802734375
2018-02-13,14798.2802734375
2018-02-21,14839.6162109375
2018-02-22,14632.9365234375
2018-02-23,14632.9365234375
2018-02-26,14343.5849609375
2018-02-27,13930.224609375
2018-02-28,13888.888671875
2018-03-01,14302.2490234375
2018-03-02,14219.5771484375
2018-03-05,13434.193359375
2018-03-06,13434.193359375
2018-03-07,13413.525390625
2018-03-08,13640.873046875
2018-03-09,13475.529296875
2018-03-12,13227.513671875
2018-03-13,12979.4970703125
2018-03-14,13392.857421875
2018-03-15,13227.513671875
2018-03-16,12979.4970703125
2018-03-19,12752.1494140625
2018-03-20,12814.1533203125
2018-03-21,12814.1533203125
2018-03-22,12772.8173828125
2018-03-23,12442.1298828125
2018-03-26,12111.44140625
2018-03-27,11946.09765625
2018-03-28,11946.09765625
2018-03-29,12256.1181640625
2018-03-30,13103.5048828125
2018-04-02,13496.197265625
2018-04-03,13268.849609375
2018-04-04,12731.4814453125
2018-04-05,12297.4541015625
2018-04-06,12442.1298828125
2018-04-09,11780.75390625
2018-04-10,11553.40625
2018-04-11,11284.72265625
2018-04-12,11222.7177734375
2018-04-13,11016.0380859375
2018-04-16,10416.6669921875
2018-04-17,10582.0107421875
2018-04-18,10127.314453125
2018-04-19,9672.619140625
2018-04-20,10147.982421875
2018-04-23,9548.611328125
2018-04-24,9383.267578125
2018-04-26,8969.9072265625
2018-04-27,9507.275390625
2018-05-02,8845.8994140625
2018-05-03,8515.2119140625
2018-05-04,8349.8681640625
2018-05-07,8349.8681640625
2018-05-08,8804.5634765625
2018-05-09,9383.267578125
2018-05-10,9259.2587890625
2018-05-11,9093.9150390625
