Date,Close
2018-01-02,18581.59375
2018-01-03,18581.59375
2018-01-04,18954.46875
2018-01-05,18643.73828125
2018-01-08,18923.396484375
2018-01-09,19296.271484375
2018-01-10,19109.83203125
2018-01-11,19109.83203125
2018-01-12,18705.88671875
2018-01-15,18954.46875
2018-01-16,18954.46875
2018-01-17,18333.0078125
2018-01-18,18333.0078125
2018-01-19,18301.935546875
2018-01-22,18923.396484375
2018-01-25,18985.5390625
2018-01-26,18892.322265625
2018-01-29,18736.95703125
2018-01-30,19886.654296875
2018-01-31,19544.853515625
2018-02-01,19140.904296875
2018-02-02,18954.46875
2018-02-05,17742.625
2018-02-06,16841.51171875
2018-02-07,17587.263671875
2018-02-08,17152.2421875
2018-02-09,17090.09765625
2018-02-12,17742.625
2018-02-13,18333.0078125
2018-02-21,18457.302734375
2018-02-22,18146.57421875
2018-02-23,18799.103515625
2018-02-26,18768.033203125
2018-02-27,18581.59375
2018-02-28,18581.59375
2018-03-01,18892.322265625
2018-03-02,18985.5390625
2018-03-05,19109.83203125
2018-03-06,19669.146484375
2018-03-07,19327.341796875
2018-03-08,19327.341796875
2018-03-09,19140.904296875
2018-03-12,19078.759765625
2018-03-13,18674.810546875
2018-03-14,18892.322265625
2018-03-15,18830.17578125
2018-03-16,18674.810546875
2018-03-19,18799.103515625
2018-03-20,19047.6875
2018-03-21,18954.46875
2018-03-22,18674.810546875
2018-03-23,18208.720703125
2018-03-26,18395.158203125
2018-03-27,18488.373046875
2018-03-28,18301.935546875
2018-03-29,18488.373046875
2018-03-30,18861.251953125
2018-04-02,19109.83203125
2018-04-03,19016.615234375
2018-04-04,19171.978515625
2018-04-05,19575.92578125
2018-04-06,19482.705078125
2018-04-09,19700.220703125
2018-04-10,20010.947265625
2018-04-11,19575.92578125
2018-04-12,19762.365234375
2018-04-13,19265.19921875
2018-04-16,18985.5390625
2018-04-17,19265.19921875
2018-04-18,19265.19921875
2018-04-19,18861.251953125
2018-04-20,19047.6875
2018-04-23,18022.279296875
2018-04-24,17525.115234375
2018-04-26,17090.09765625
2018-04-27,17711.552734375
2018-05-02,17711.552734375
2018-05-03,18022.279296875
2018-05-04,18270.86328125
2018-05-07,18519.447265625
2018-05-08,18333.0078125
2018-05-09,18146.57421875
2018-05-10,18115.5
2018-05-11,18488.373046875
2018-05-14,19140.904296875
2018-05-15,19078.759765625
2018-05-16,18799.103515625
2018-05-17,18830.17578125
2018-05-18,18892.322265625
2018-05-21,18954.46875
2018-05-22,18550.5234375
2018-05-23,18830.17578125
2018-05-24,18488.373046875
2018-05-25,17473.84375
2018-05-28,16258.8955078125
2018-05-29,16937.837890625
2018-05-30,16241.02734375
2018-05-31,16437.564453125
2018-06-01,16598.365234375
2018-06-04,16884.236328125
2018-06-05,17080.7734375
2018-06-06,17330.91015625
2018-06-07,17080.7734375
2018-06-08,17134.375
2018-06-11,16973.5703125
2018-06-12,16544.765625
2018-06-13,16723.435546875
2018-06-14,16651.96875
2018-06-15,16616.232421875
2018-06-18,16223.1611328125
2018-06-19,15901.556640625
2018-06-20,16223.1611328125
2018-06-21,15865.822265625
2018-06-22,16080.2265625
2018-06-25,16115.9580078125
2018-06-26,15901.556640625
2018-06-27,15830.0888671875
2018-06-28,15186.8798828125
2018-06-29,14829.541015625
2018-07-02,14365.0009765625
2018-07-03,13936.1953125
2018-07-04,14293.533203125
2018-07-05,14114.865234375
2018-07-06,14579.404296875
2018-07-09,14347.1337890625
2018-07-10,14436.4677734375
2018-07-11,14007.6630859375
2018-07-12,13864.7275390625
2018-07-13,14507.9365234375
2018-07-16,14615.138671875
2018-07-17,14972.4755859375
2018-07-18,15329.814453125
2018-07-19,15186.8798828125
2018-07-20,14865.2744140625
2018-07-23,15008.2109375
2018-07-24,15079.677734375
2018-07-25,15151.1455078125
2018-07-26,15204.74609375
2018-07-27,15472.7509765625
2018-07-30,15472.7509765625
2018-07-31,15294.0810546875
2018-08-01,15008.2109375
2018-08-02,15258.3466796875
2018-08-03,15222.6123046875
2018-08-06,15097.5439453125
2018-08-07,14990.34375
2018-08-08,15186.8798828125
2018-08-09,15294.0810546875
2018-08-10,15401.2822265625
2018-08-13,15526.3505859375
2018-08-14,15830.0888671875
2018-08-15,15651.4189453125
2018-08-16,15365.548828125
2018-08-17,15544.2158203125
2018-08-20,15615.6845703125
2018-08-21,15615.6845703125
2018-08-22,15740.75390625
2018-08-23,15865.822265625
2018-08-24,15883.6904296875
2018-08-27,15865.822265625
2018-08-28,15794.353515625
2018-08-29,15794.353515625
2018-08-30,15776.486328125
2018-08-31,15794.353515625
2018-09-04,15758.619140625
2018-09-05,15472.7509765625
2018-09-06,15133.279296875
2018-09-07,15365.548828125
2018-09-10,15204.74609375
2018-09-11,15419.1484375
2018-09-12,15383.4150390625
2018-09-13,15508.4833984375
2018-09-14,15919.423828125
2018-09-17,15758.619140625
2018-09-18,16008.7587890625
2018-09-19,16241.02734375
2018-09-20,16401.833984375
2018-09-21,16401.833984375
2018-09-24,16473.298828125
2018-09-25,16401.833984375
2018-09-26,16455.4296875
2018-09-27,16509.033203125
2018-09-28,16544.765625
2018-10-01,16437.564453125
2018-10-02,16187.4267578125
2018-10-03,16258.8955078125
2018-10-04,16383.962890625
2018-10-05,16294.6279296875
2018-10-08,16080.2265625
2018-10-09,15973.025390625
2018-10-10,16187.4267578125
2018-10-11,15258.3466796875
2018-10-12,15651.4189453125
2018-10-15,15365.548828125
2018-10-16,15454.8837890625
2018-10-17,15579.9521484375
2018-10-18,15579.9521484375
2018-10-19,15365.548828125
2018-10-22,15419.1484375
2018-10-23,15079.677734375
2018-10-24,14936.7421875
2018-10-25,14668.73828125
2018-10-26,14579.404296875
2018-10-29,14650.87109375
2018-10-30,14650.87109375
2018-10-31,14990.34375
2018-11-01,14972.4755859375
2018-11-02,15329.814453125
2018-11-05,15204.74609375
2018-11-06,15061.8115234375
2018-11-07,14954.609375
2018-11-08,15061.8115234375
2018-11-09,14740.20703125
2018-11-12,14990.34375
2018-11-13,14883.140625
2018-11-14,15097.5439453125
2018-11-15,15079.677734375
2018-11-16,15276.2138671875
2018-11-19,15419.1484375
2018-11-20,15508.4833984375
2018-11-21,15508.4833984375
2018-11-22,15508.4833984375
2018-11-23,15383.4150390625
2018-11-26,15169.0126953125
2018-11-27,15276.2138671875
2018-11-28,15294.0810546875
2018-11-29,15329.814453125
2018-11-30,15329.814453125
2018-12-03,16044.490234375
2018-12-04,16062.357421875
2018-12-05,15937.2890625
2018-12-06,15865.822265625
2018-12-07,16115.9580078125
2018-12-10,15794.353515625
2018-12-11,15740.75390625
2018-12-12,15883.6904296875
2018-12-13,15937.2890625
2018-12-14,15776.486328125
2018-12-17,15365.548828125
2018-12-18,15008.2109375
2018-12-19,15043.9443359375
2018-12-20,15026.0771484375
2018-12-21,15186.8798828125
2018-12-24,15008.2109375
2018-12-25,14829.541015625
2018-12-26,14793.8076171875
2018-12-27,14936.7421875
2018-12-28,15079.677734375
2019-01-02,14722.3388671875
2019-01-03,14579.404296875
