Date,Close
2018-01-02,64720.56640625
2018-01-03,66146.7265625
2018-01-04,69270.703125
2018-01-05,68184.09375
2018-01-08,68184.09375
2018-01-09,69270.703125
2018-01-10,69949.828125
2018-01-11,70085.6484375
2018-01-12,68252.0078125
2018-01-15,69406.5234375
2018-01-16,70289.3828125
2018-01-17,67844.546875
2018-01-18,67980.359375
2018-01-19,67233.3203125
2018-01-22,71919.2890625
2018-01-25,76944.8046875
2018-01-26,79050.0859375
2018-01-29,78710.53125
2018-01-30,79118.0078125
2018-01-31,84618.9140625
2018-02-01,82989.015625
2018-02-02,82174.0703125
2018-02-05,76469.421875
2018-02-06,71172.25
2018-02-07,74703.6875
2018-02-08,70628.953125
2018-02-09,65739.25
2018-02-12,70289.3828125
2018-02-13,73345.4453125
2018-02-21,76061.9453125
2018-02-22,71987.1953125
2018-02-23,75382.8203125
2018-02-26,76741.0703125
2018-02-27,77080.6328125
2018-02-28,77352.28125
2018-03-01,78778.4375
2018-03-02,79457.5625
2018-03-05,76061.9453125
2018-03-06,79457.5625
2018-03-07,77963.4921875
2018-03-08,77827.6640625
2018-03-09,76061.9453125
2018-03-12,78914.265625
2018-03-13,78099.3203125
2018-03-14,80272.515625
2018-03-15,82174.0703125
2018-03-16,86927.9296875
2018-03-19,87267.5
2018-03-20,85569.6875
2018-03-21,86384.640625
2018-03-22,90866.859375
2018-03-23,88897.3984375
2018-03-26,88014.5390625
2018-03-27,86112.984375
2018-03-28,86248.8125
2018-03-29,85909.25
2018-03-30,89236.953125
2018-04-02,92428.84375
2018-04-03,90323.5546875
2018-04-04,88286.1875
2018-04-05,88218.2734375
2018-04-06,88150.359375
2018-04-09,88150.359375
2018-04-10,87946.625
2018-04-11,85909.25
2018-04-12,88625.75
2018-04-13,86927.9296875
2018-04-16,86452.546875
2018-04-17,86927.9296875
2018-04-18,87810.796875
2018-04-19,87810.796875
2018-04-20,91002.6796875
2018-04-23,84686.828125
2018-04-24,87471.2421875
