Date,Close
2018-01-02,8710.896484375
2018-01-03,8384.978515625
2018-01-04,8473.865234375
2018-01-05,8473.865234375
2018-01-08,8859.041015625
2018-01-09,8829.412109375
2018-01-10,8859.041015625
2018-01-11,8829.412109375
2018-01-12,8799.783203125
2018-01-15,8799.783203125
2018-01-16,8799.783203125
2018-01-17,8622.009765625
2018-01-18,8592.380859375
2018-01-19,8592.380859375
2018-01-22,8533.123046875
2018-01-25,8325.720703125
2018-01-26,8355.349609375
2018-01-29,8355.349609375
2018-01-30,8296.091796875
2018-01-31,8296.091796875
2018-02-01,8236.833984375
2018-02-02,8177.576171875
2018-02-05,8118.318359375
2018-02-06,7703.513671875
2018-02-07,8088.689453125
2018-02-08,8029.431640625
2018-02-09,8059.060546875
2018-02-12,8207.205078125
2018-02-13,8207.205078125
2018-02-21,8177.576171875
2018-02-22,8147.947265625
2018-02-23,8147.947265625
2018-02-26,8118.318359375
2018-02-27,7999.802734375
2018-02-28,7881.287109375
2018-03-01,7703.513671875
2018-03-02,7673.884765625
2018-03-05,7644.255859375
2018-03-06,7496.111328125
2018-03-07,7140.564453125
2018-03-08,7170.193359375
2018-03-09,7288.708984375
2018-03-12,7259.080078125
2018-03-13,7377.595703125
2018-03-14,7377.595703125
2018-03-15,7288.708984375
2018-03-16,7199.822265625
2018-03-19,7110.935546875
2018-03-20,7081.306640625
2018-03-21,6814.646484375
2018-03-22,6992.419921875
2018-03-23,7022.048828125
2018-03-26,6785.017578125
2018-03-27,7081.306640625
2018-03-28,6814.646484375
2018-03-29,6814.646484375
2018-03-30,6666.50244140625
2018-04-02,6666.50244140625
2018-04-03,6488.72900390625
2018-04-04,6222.06884765625
2018-04-05,6192.43994140625
2018-04-06,6399.84228515625
2018-04-09,6518.35791015625
2018-04-10,6518.35791015625
2018-04-11,6399.84228515625
2018-04-12,6340.58447265625
2018-04-13,6340.58447265625
2018-04-16,6399.84228515625
2018-04-17,6399.84228515625
2018-04-18,6340.58447265625
2018-04-19,6251.69775390625
2018-04-20,6133.18212890625
2018-04-23,6103.55322265625
2018-04-24,6073.92431640625
2018-04-26,6103.55322265625
2018-04-27,6133.18212890625
2018-05-02,6103.55322265625
2018-05-03,5925.77978515625
2018-05-04,5807.26416015625
2018-05-07,5866.52197265625
2018-05-08,5866.52197265625
2018-05-09,5570.23291015625
2018-05-10,5836.89306640625
2018-05-11,5807.26416015625
